[34m2013-10-24 07:32:26,610  INFO | main | org.springframework.web.context.ContextLoader           | Root WebApplicationContext: initialization started 
[0;39m[34m2013-10-24 07:32:29,321  INFO | main | o.s.web.context.support.XmlWebApplicationContext        | Bean 'sp.security.ReportsPermissionEvaluator#de1e3a' of type [class sp.security.ReportsPermissionEvaluator] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
[0;39m[34m2013-10-24 07:32:29,325  INFO | main | o.s.web.context.support.XmlWebApplicationContext        | Bean 'expressionHandler' of type [class org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
[0;39m[34m2013-10-24 07:32:29,337  INFO | main | o.s.web.context.support.XmlWebApplicationContext        | Bean '(inner bean)' of type [class org.springframework.security.access.expression.method.ExpressionBasedAnnotationAttributeFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
[0;39m[34m2013-10-24 07:32:29,346  INFO | main | o.s.web.context.support.XmlWebApplicationContext        | Bean '(inner bean)' of type [class org.springframework.security.access.prepost.PrePostAnnotationSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
[0;39m[34m2013-10-24 07:32:29,351  INFO | main | o.s.web.context.support.XmlWebApplicationContext        | Bean 'org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource#0' of type [class org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
[0;39m[34m2013-10-24 07:32:29,366  INFO | main | o.s.web.context.support.XmlWebApplicationContext        | Bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor' of type [class org.springframework.security.access.intercept.aopalliance.MethodSecurityMetadataSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
[0;39m[34m2013-10-24 07:32:29,419  INFO | main | o.s.web.context.support.XmlWebApplicationContext        | Bean 'org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0' of type [class org.springframework.transaction.annotation.AnnotationTransactionAttributeSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
[0;39m[34m2013-10-24 07:32:29,423  INFO | main | o.s.web.context.support.XmlWebApplicationContext        | Bean 'org.springframework.transaction.config.internalTransactionAdvisor' of type [class org.springframework.transaction.interceptor.BeanFactoryTransactionAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
[0;39m[34m2013-10-24 07:32:29,447  INFO | main | o.s.beans.factory.support.DefaultListableBeanFactory    | Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@14b9070: defining beans [suggestRepositoryImpl,opRepositoryImpl,reportRepositoryImpl,userRepositoryImpl,solrRepositoryImpl,registerRepositoryImpl,opServiceImpl,emailServiceImpl,registryServiceImpl,solrServiceImpl,reportServiceImpl,suggestServiceImpl,userServiceImpl,backendState,frontendState,spStatsITextPdfBuilder,spPdfBoxPdfBuilder,propertiesReloader,spStaticBeanInjector,propertyService,managerUtil,reportConfig,bitronixJtaConfig,suggestIndex,suggestIndexCreator,suggestIndexSearcher,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.internalPersistenceAnnotationProcessor,org.springframework.context.support.PropertySourcesPlaceholderConfigurer#0,emailMessageSource,backendProperties,frontendProperties,reportsDS,registryDS,jpaVendorAdapter,jpaDialect,entityManagerFactoryReports,entityManagerFactoryRegistry,org.springframework.orm.jpa.support.PersistenceAnnotationBeanPostProcessor#0,org.springframework.aop.config.internalAutoProxyCreator,org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0,org.springframework.transaction.interceptor.TransactionInterceptor#0,org.springframework.transaction.config.internalTransactionAdvisor,org.springframework.beans.factory.annotation.RequiredAnnotationBeanPostProcessor#0,reportsSolrServer,solrTemplate,org.springframework.context.annotation.internalAsyncAnnotationProcessor,org.springframework.context.annotation.internalScheduledAnnotationProcessor,org.springframework.security.web.PortMapperImpl#0,org.springframework.security.web.context.HttpSessionSecurityContextRepository#0,org.springframework.security.core.session.SessionRegistryImpl#0,org.springframework.security.web.authentication.session.ConcurrentSessionControlStrategy#0,org.springframework.security.authentication.ProviderManager#0,org.springframework.security.web.access.channel.ChannelDecisionManagerImpl#0,org.springframework.security.access.vote.AffirmativeBased#0,org.springframework.security.web.access.intercept.FilterSecurityInterceptor#0,org.springframework.security.web.access.DefaultWebInvocationPrivilegeEvaluator#0,org.springframework.security.authentication.AnonymousAuthenticationProvider#0,org.springframework.security.web.authentication.rememberme.TokenBasedRememberMeServices#0,org.springframework.security.authentication.RememberMeAuthenticationProvider#0,org.springframework.security.web.savedrequest.HttpSessionRequestCache#0,org.springframework.security.web.authentication.www.BasicAuthenticationEntryPoint#0,org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter#0,org.springframework.security.config.http.UserDetailsServiceInjectionBeanPostProcessor#0,org.springframework.security.filterChainProxy,org.springframework.security.authentication.dao.DaoAuthenticationProvider#0,org.springframework.security.authentication.DefaultAuthenticationEventPublisher#0,org.springframework.security.authenticationManager,dataSource,userDetailsService,org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource#0,org.springframework.security.access.vote.AffirmativeBased#1,org.springframework.security.access.intercept.aopalliance.MethodSecurityInterceptor#0,org.springframework.security.methodSecurityMetadataSourceAdvisor,expressionHandler,org.springframework.context.annotation.ConfigurationClassPostProcessor$ImportAwareBeanPostProcessor#0,emailSession,enterpriseDataSource,registryDataSource,btmConfig,bitronixTransactionManager,transactionManagerNative,userTransaction,transactionManager]; root of factory hierarchy 
[0;39m[39m2013-10-24 07:32:29,637 DEBUG | main | bitronix.tm.resource.jdbc.PoolingDataSource             | building XA pool for jdbc/enterpriseDS with 4 connection(s) 
[0;39m[39m2013-10-24 07:32:29,733 DEBUG | main | bitronix.tm.resource.common.XAPool                      | setting vendor property 'user' to 'netbeans' 
[0;39m[39m2013-10-24 07:32:29,746 DEBUG | main | bitronix.tm.resource.common.XAPool                      | setting vendor property 'url' to 'jdbc:mysql://localhost:3306/enterprise?autoReconnect=true&characterEncoding=utf8' 
[0;39m[39m2013-10-24 07:32:29,747 DEBUG | main | bitronix.tm.resource.common.XAPool                      | setting vendor property 'password' to 'netbeans' 
[0;39m[39m2013-10-24 07:32:29,748 DEBUG | main | bitronix.tm.resource.common.XAPool                      | setting vendor property 'databaseName' to 'enterprise' 
[0;39m[39m2013-10-24 07:32:32,001 DEBUG | main | bitronix.tm.resource.jdbc.JdbcPooledConnection          | dataSource is JDBC4 or newer and supports isValid(), but enableJdbc4ConnectionTest is not set or is false 
[0;39m[39m2013-10-24 07:32:32,002 DEBUG | main | bitronix.tm.resource.jdbc.JdbcPooledConnection          | detected JDBC connection class 'class com.mysql.jdbc.jdbc2.optional.JDBC4ConnectionWrapper' is version 4 type 
[0;39m[39m2013-10-24 07:32:32,009 DEBUG | main | bitronix.tm.Configuration                               | loading default configuration 
[0;39m[39m2013-10-24 07:32:32,010 DEBUG | main | bitronix.tm.Configuration                               | no configuration file found, using default settings 
[0;39m[39m2013-10-24 07:32:32,074 DEBUG | main | bitronix.tm.resource.jdbc.JdbcPooledConnection          | dataSource is JDBC4 or newer and supports isValid(), but enableJdbc4ConnectionTest is not set or is false 
[0;39m[39m2013-10-24 07:32:32,074 DEBUG | main | bitronix.tm.resource.jdbc.JdbcPooledConnection          | detected JDBC connection class 'class com.mysql.jdbc.jdbc2.optional.JDBC4ConnectionWrapper' is version 4 type 
[0;39m[39m2013-10-24 07:32:32,101 DEBUG | main | bitronix.tm.resource.jdbc.JdbcPooledConnection          | dataSource is JDBC4 or newer and supports isValid(), but enableJdbc4ConnectionTest is not set or is false 
[0;39m[39m2013-10-24 07:32:32,101 DEBUG | main | bitronix.tm.resource.jdbc.JdbcPooledConnection          | detected JDBC connection class 'class com.mysql.jdbc.jdbc2.optional.JDBC4ConnectionWrapper' is version 4 type 
[0;39m[39m2013-10-24 07:32:32,126 DEBUG | main | bitronix.tm.resource.jdbc.JdbcPooledConnection          | dataSource is JDBC4 or newer and supports isValid(), but enableJdbc4ConnectionTest is not set or is false 
[0;39m[39m2013-10-24 07:32:32,126 DEBUG | main | bitronix.tm.resource.jdbc.JdbcPooledConnection          | detected JDBC connection class 'class com.mysql.jdbc.jdbc2.optional.JDBC4ConnectionWrapper' is version 4 type 
[0;39m[39m2013-10-24 07:32:32,157 DEBUG | main | bitronix.tm.timer.TaskScheduler                         | task scheduler backed by ConcurrentSkipListSet 
[0;39m[39m2013-10-24 07:32:32,158 DEBUG | main | bitronix.tm.timer.TaskScheduler                         | scheduling pool shrinking task on an XAPool of resource jdbc/enterpriseDS with 4 connection(s) (4 still available) for Thu Jan 01 19:31:07 FET 1970 
[0;39m[39m2013-10-24 07:32:32,159 DEBUG | main | bitronix.tm.timer.TaskScheduler                         | removing task by an XAPool of resource jdbc/enterpriseDS with 4 connection(s) (4 still available) 
[0;39m[39m2013-10-24 07:32:32,159 DEBUG | main | bitronix.tm.timer.TaskScheduler                         | scheduled a PoolShrinkingTask scheduled for Thu Jan 01 19:31:07 FET 1970 on an XAPool of resource jdbc/enterpriseDS with 4 connection(s) (4 still available), total task(s) queued: 1 
[0;39m[34m2013-10-24 07:32:32,268  INFO | main | bitronix.tm.BitronixTransactionManager                  | Bitronix Transaction Manager version 2.1.3 
[0;39m[39m2013-10-24 07:32:32,269 DEBUG | main | bitronix.tm.BitronixTransactionManager                  | JVM version 1.7.0_21 
[0;39m[34m2013-10-24 07:32:32,269  INFO | main | bitronix.tm.Configuration                               | JVM unique ID: <reports-spring-btm-node0> 
[0;39m[39m2013-10-24 07:32:32,270 DEBUG | main | bitronix.tm.BitronixTransactionManager                  | starting BitronixTransactionManager using a Configuration with [allowMultipleLrc=false, asynchronous2Pc=false, backgroundRecoveryInterval=1, backgroundRecoveryIntervalSeconds=60, currentNodeOnlyRecovery=true, debugZeroResourceTransaction=false, defaultTransactionTimeout=60, disableJmx=false, exceptionAnalyzer=null, filterLogStatus=false, forceBatchingEnabled=true, forcedWriteEnabled=true, gracefulShutdownInterval=60, jndiTransactionSynchronizationRegistryName=java:comp/TransactionSynchronizationRegistry, jndiUserTransactionName=java:comp/UserTransaction, journal=disk, logPart1Filename=tx-logs/tx-part1.btm, logPart2Filename=tx-logs/tx-part2.btm, maxLogSizeInMb=2, resourceConfigurationFilename=null, serverId=reports-spring-btm-node0, skipCorruptedLogs=false, warnAboutZeroResourceTransaction=true] 
[0;39m[39m2013-10-24 07:32:32,272 DEBUG | main | bitronix.tm.TransactionManagerServices                  | using journal disk 
[0;39m[39m2013-10-24 07:32:32,273 DEBUG | main | bitronix.tm.journal.DiskJournal                         | creation of log files 
[0;39m[39m2013-10-24 07:32:32,550 DEBUG | main | bitronix.tm.journal.DiskJournal                         | disk journal files max length: 2097173 
[0;39m[39m2013-10-24 07:32:32,556 DEBUG | main | bitronix.tm.journal.TransactionLogHeader                | read header a Bitronix TransactionLogHeader with timestamp=59407690, state=CLEAN_LOG_STATE, position=21 
[0;39m[39m2013-10-24 07:32:32,556 DEBUG | main | bitronix.tm.journal.TransactionLogAppender              | spawning disk force batcher thread 
[0;39m[39m2013-10-24 07:32:32,558 DEBUG | main | bitronix.tm.journal.TransactionLogHeader                | read header a Bitronix TransactionLogHeader with timestamp=59407501, state=CLEAN_LOG_STATE, position=21 
[0;39m[39m2013-10-24 07:32:32,558 DEBUG | bitronix-disk-force-batcher | bitronix.tm.journal.DiskForceBatcherThread              | disk force thread is up and running 
[0;39m[39m2013-10-24 07:32:32,559 DEBUG | main | bitronix.tm.journal.DiskJournal                         | logging to file 1: a TransactionLogAppender on tx-part1.btm 
[0;39m[39m2013-10-24 07:32:32,560 DEBUG | bitronix-disk-force-batcher | bitronix.tm.journal.DiskForceBatcherThread              | waiting for the wait queue to fill up 
[0;39m[39m2013-10-24 07:32:32,560 DEBUG | main | bitronix.tm.journal.DiskJournal                         | log file activated, forcing file state to disk 
[0;39m[39m2013-10-24 07:32:32,560 DEBUG | bitronix-disk-force-batcher | bitronix.tm.journal.DiskForceWaitQueue                  | waiting for some TransactionLogAppender to get enqueued 
[0;39m[39m2013-10-24 07:32:32,560 DEBUG | main | bitronix.tm.journal.DiskForceWaitQueue                  | enqueued a TransactionLogAppender on tx-part1.btm, 1 TransactionLogAppender waiting for a disk force in bitronix.tm.journal.DiskForceWaitQueue@1d4482a 
[0;39m[39m2013-10-24 07:32:32,561 DEBUG | main | bitronix.tm.journal.DiskForceBatcherThread              | batching disk force, there are 1 TransactionLogAppender(s) in the wait queue 
[0;39m[39m2013-10-24 07:32:32,561 DEBUG | bitronix-disk-force-batcher | bitronix.tm.journal.DiskForceBatcherThread              | wait queue is not empty anymore (1 in queue) 
[0;39m[39m2013-10-24 07:32:32,561 DEBUG | bitronix-disk-force-batcher | bitronix.tm.journal.DiskForceBatcherThread              | forcing... 
[0;39m[39m2013-10-24 07:32:32,561 DEBUG | main | bitronix.tm.journal.DiskForceWaitQueue                  | waiting for a TransactionLogAppender on tx-part1.btm to get dequeued 
[0;39m[39m2013-10-24 07:32:32,561 DEBUG | bitronix-disk-force-batcher | bitronix.tm.journal.DiskForceWaitQueue                  | returning head TransactionLogAppender 
[0;39m[39m2013-10-24 07:32:32,562 DEBUG | bitronix-disk-force-batcher | bitronix.tm.journal.TransactionLogAppender              | forcing log writing 
[0;39m[39m2013-10-24 07:32:32,650 DEBUG | bitronix-disk-force-batcher | bitronix.tm.journal.TransactionLogAppender              | done forcing log 
[0;39m[39m2013-10-24 07:32:32,650 DEBUG | bitronix-disk-force-batcher | bitronix.tm.journal.DiskForceWaitQueue                  | clearing list of 1 waiting TransactionLogAppender(s) in bitronix.tm.journal.DiskForceWaitQueue@1d4482a 
[0;39m[39m2013-10-24 07:32:32,650 DEBUG | bitronix-disk-force-batcher | bitronix.tm.journal.DiskForceBatcherThread              | waiting for the wait queue to fill up 
[0;39m[39m2013-10-24 07:32:32,650 DEBUG | main | bitronix.tm.journal.DiskForceBatcherThread              | wait queue got emptied, disk force is done 
[0;39m[39m2013-10-24 07:32:32,650 DEBUG | bitronix-disk-force-batcher | bitronix.tm.journal.DiskForceWaitQueue                  | waiting for some TransactionLogAppender to get enqueued 
[0;39m[39m2013-10-24 07:32:32,650 DEBUG | main | bitronix.tm.journal.DiskJournal                         | disk journal opened 
[0;39m[39m2013-10-24 07:32:32,652 DEBUG | main | bitronix.tm.resource.ResourceLoader                     | no resource configuration file specified 
[0;39m[39m2013-10-24 07:32:32,657 DEBUG | main | bitronix.tm.journal.TransactionLogCursor                | end of transaction log file reached at 21 
[0;39m[39m2013-10-24 07:32:32,657 DEBUG | main | bitronix.tm.journal.DiskJournal                         | collected dangling records of a TransactionLogAppender on tx-part1.btm, committing: 0, committed: 0, delta: 0 
[0;39m[39m2013-10-24 07:32:32,657 DEBUG | main | bitronix.tm.recovery.Recoverer                          | performing recovery on jdbc/enterpriseDS 
[0;39m[39m2013-10-24 07:32:32,657 DEBUG | main | bitronix.tm.recovery.Recoverer                          | running recovery on a PoolingDataSource containing an XAPool of resource jdbc/enterpriseDS with 4 connection(s) (4 still available) 
[0;39m[39m2013-10-24 07:32:32,658 DEBUG | main | bitronix.tm.resource.common.XAPool                      | getting a IN_POOL connection from an XAPool of resource jdbc/enterpriseDS with 4 connection(s) (4 still available) 
[0;39m[39m2013-10-24 07:32:32,658 DEBUG | main | bitronix.tm.resource.common.XAPool                      | waiting for IN_POOL connections count to be > 0, currently is 4 
[0;39m[39m2013-10-24 07:32:32,658 DEBUG | main | bitronix.tm.resource.common.XAPool                      | found IN_POOL connection a JdbcPooledConnection from datasource jdbc/enterpriseDS in state IN_POOL with usage count 0 wrapping com.mysql.jdbc.jdbc2.optional.JDBC4MysqlXAConnection@1e7fda from an XAPool of resource jdbc/enterpriseDS with 4 connection(s) (4 still available) 
[0;39m[39m2013-10-24 07:32:32,658 DEBUG | main | bitronix.tm.resource.jdbc.JdbcPooledConnection          | getting connection handle from a JdbcPooledConnection from datasource jdbc/enterpriseDS in state IN_POOL with usage count 0 wrapping com.mysql.jdbc.jdbc2.optional.JDBC4MysqlXAConnection@1e7fda 
[0;39m[39m2013-10-24 07:32:32,658 DEBUG | main | bitronix.tm.resource.common.AbstractXAStatefulHolder    | notifying 2 stateChangeEventListener(s) about state changing from IN_POOL to ACCESSIBLE in a JdbcPooledConnection from datasource jdbc/enterpriseDS in state IN_POOL with usage count 1 wrapping com.mysql.jdbc.jdbc2.optional.JDBC4MysqlXAConnection@1e7fda 
[0;39m[39m2013-10-24 07:32:32,658 DEBUG | main | bitronix.tm.resource.common.AbstractXAStatefulHolder    | state changing from IN_POOL to ACCESSIBLE in a JdbcPooledConnection from datasource jdbc/enterpriseDS in state IN_POOL with usage count 1 wrapping com.mysql.jdbc.jdbc2.optional.JDBC4MysqlXAConnection@1e7fda 
[0;39m[39m2013-10-24 07:32:32,659 DEBUG | main | bitronix.tm.resource.common.AbstractXAStatefulHolder    | notifying 2 stateChangeEventListener(s) about state changed from IN_POOL to ACCESSIBLE in a JdbcPooledConnection from datasource jdbc/enterpriseDS in state ACCESSIBLE with usage count 1 wrapping com.mysql.jdbc.jdbc2.optional.JDBC4MysqlXAConnection@1e7fda 
[0;39m[39m2013-10-24 07:32:32,659 DEBUG | main | bitronix.tm.resource.jdbc.JdbcPooledConnection          | connection com.mysql.jdbc.jdbc2.optional.JDBC4MysqlXAConnection@1e7fda was in state IN_POOL, testing it 
[0;39m[39m2013-10-24 07:32:32,659 DEBUG | main | bitronix.tm.resource.jdbc.JdbcPooledConnection          | testing with query 'SELECT 1 FROM reports' connection of a JdbcPooledConnection from datasource jdbc/enterpriseDS in state ACCESSIBLE with usage count 1 wrapping com.mysql.jdbc.jdbc2.optional.JDBC4MysqlXAConnection@1e7fda 
[0;39m[39m2013-10-24 07:32:32,817 DEBUG | main | bitronix.tm.resource.jdbc.JdbcPooledConnection          | testQuery successfully tested connection of a JdbcPooledConnection from datasource jdbc/enterpriseDS in state ACCESSIBLE with usage count 1 wrapping com.mysql.jdbc.jdbc2.optional.JDBC4MysqlXAConnection@1e7fda 
[0;39m[39m2013-10-24 07:32:32,819 DEBUG | main | bitronix.tm.resource.jdbc.JdbcPooledConnection          | got connection handle from a JdbcPooledConnection from datasource jdbc/enterpriseDS in state ACCESSIBLE with usage count 1 wrapping com.mysql.jdbc.jdbc2.optional.JDBC4MysqlXAConnection@1e7fda 
[0;39m[39m2013-10-24 07:32:32,823 DEBUG | main | bitronix.tm.recovery.RecoveryHelper                     | recovering with STARTRSCAN 
[0;39m[39m2013-10-24 07:32:32,824 DEBUG | main | bitronix.tm.recovery.RecoveryHelper                     | STARTRSCAN recovered 0 xid(s) on an XAResourceHolderState with uniqueName=jdbc/enterpriseDS XAResource=com.mysql.jdbc.jdbc2.optional.JDBC4MysqlXAConnection@1e7fda with XID null 
[0;39m[39m2013-10-24 07:32:32,825 DEBUG | main | bitronix.tm.recovery.RecoveryHelper                     | recovering with ENDRSCAN 
[0;39m[39m2013-10-24 07:32:32,825 DEBUG | main | bitronix.tm.recovery.RecoveryHelper                     | ENDRSCAN recovered 0 xid(s) on an XAResourceHolderState with uniqueName=jdbc/enterpriseDS XAResource=com.mysql.jdbc.jdbc2.optional.JDBC4MysqlXAConnection@1e7fda with XID null 
[0;39m[39m2013-10-24 07:32:32,825 DEBUG | main | bitronix.tm.resource.jdbc.PoolingDataSource             | recovery xa resource is being closed: bitronix.tm.resource.common.RecoveryXAResourceHolder@57ca3e 
[0;39m[39m2013-10-24 07:32:32,825 DEBUG | main | bitronix.tm.resource.jdbc.JdbcConnectionHandle          | closing a JdbcConnectionHandle of a JdbcPooledConnection from datasource jdbc/enterpriseDS in state ACCESSIBLE with usage count 1 wrapping com.mysql.jdbc.jdbc2.optional.JDBC4MysqlXAConnection@1e7fda on com.mysql.jdbc.jdbc2.optional.JDBC4ConnectionWrapper@19ec437 
[0;39m[39m2013-10-24 07:32:32,826 DEBUG | main | bitronix.tm.resource.jdbc.JdbcPooledConnection          | releasing to pool a JdbcPooledConnection from datasource jdbc/enterpriseDS in state ACCESSIBLE with usage count 1 wrapping com.mysql.jdbc.jdbc2.optional.JDBC4MysqlXAConnection@1e7fda 
[0;39m[39m2013-10-24 07:32:32,826 DEBUG | main | bitronix.tm.resource.common.TransactionContextHelper    | delisting a JdbcPooledConnection from datasource jdbc/enterpriseDS in state ACCESSIBLE with usage count 0 wrapping com.mysql.jdbc.jdbc2.optional.JDBC4MysqlXAConnection@1e7fda from null 
[0;39m[39m2013-10-24 07:32:32,826 DEBUG | main | bitronix.tm.resource.common.TransactionContextHelper    | resource is not in enlisting global transaction context: a JdbcPooledConnection from datasource jdbc/enterpriseDS in state ACCESSIBLE with usage count 0 wrapping com.mysql.jdbc.jdbc2.optional.JDBC4MysqlXAConnection@1e7fda 
[0;39m[39m2013-10-24 07:32:32,827 DEBUG | main | bitronix.tm.resource.common.TransactionContextHelper    | requeuing a JdbcPooledConnection from datasource jdbc/enterpriseDS in state ACCESSIBLE with usage count 0 wrapping com.mysql.jdbc.jdbc2.optional.JDBC4MysqlXAConnection@1e7fda from null 
[0;39m[39m2013-10-24 07:32:32,827 DEBUG | main | bitronix.tm.resource.common.TransactionContextHelper    | resource is not in enlisting global transaction context: a JdbcPooledConnection from datasource jdbc/enterpriseDS in state ACCESSIBLE with usage count 0 wrapping com.mysql.jdbc.jdbc2.optional.JDBC4MysqlXAConnection@1e7fda 
[0;39m[39m2013-10-24 07:32:32,827 DEBUG | main | bitronix.tm.resource.common.TransactionContextHelper    | looking in in-flight transactions for XAResourceHolderState of a JdbcPooledConnection from datasource jdbc/enterpriseDS in state ACCESSIBLE with usage count 0 wrapping com.mysql.jdbc.jdbc2.optional.JDBC4MysqlXAConnection@1e7fda 
[0;39m[39m2013-10-24 07:32:32,827 DEBUG | main | bitronix.tm.resource.common.TransactionContextHelper    | transaction manager not running, there is no in-flight transaction 
[0;39m[39m2013-10-24 07:32:32,828 DEBUG | main | bitronix.tm.resource.common.TransactionContextHelper    | resource not in enlisting global transaction context, immediately releasing to pool a JdbcPooledConnection from datasource jdbc/enterpriseDS in state ACCESSIBLE with usage count 0 wrapping com.mysql.jdbc.jdbc2.optional.JDBC4MysqlXAConnection@1e7fda 
